pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"ZE1 0NQ","ZE1  0NQ","ZE1 0NQ","198001","","S99999999","S99999999","S12000027","S13002777","S99999999","0","447004","1141704","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036985","27C03","S99999999","S01005507","S02001052","5","1B1","S00129070","S01012400","S02002324","S34002516","S03000037","S99999999","5","7A1",60.157125,-1.155102,"S99999999","","S23000009",2889,"S99999999","S99999999","S00174784","S01019733","S02003653","4"
"ZE1 0NR","ZE1  0NR","ZE1 0NR","198001","","S99999999","S99999999","S12000027","S13002777","S99999999","0","446979","1141684","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036986","27C03","S99999999","S01005506","S02001052","5","5B2","S00129071","S01012398","S02002324","S34002516","S03000037","S99999999","5","8D3",60.156949,-1.155557,"S99999999","","S23000009",4073,"S99999999","S99999999","S00174788","S01019731","S02003653","4"
"ZE1 0NS","ZE1  0NS","ZE1 0NS","198001","","S99999999","S99999999","S12000027","S13002777","S99999999","0","447065","1141618","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036986","27C03","S99999999","S01005506","S02001052","5","5B2","S00129071","S01012398","S02002324","S34002516","S03000037","S99999999","5","8D3",60.156346,-1.154023,"S99999999","","S23000009",4073,"S99999999","S99999999","S00174788","S01019731","S02003653","4"
"ZE1 0NT","ZE1  0NT","ZE1 0NT","198001","","S99999999","S99999999","S12000027","S13002777","S99999999","0","446902","1141757","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036985","27C03","S99999999","S01005507","S02001052","5","1B1","S00129070","S01012400","S02002324","S34002516","S03000037","S99999999","5","7A1",60.157613,-1.156927,"S99999999","","S23000009",2889,"S99999999","S99999999","S00174784","S01019733","S02003653","4"
"ZE1 0NU","ZE1  0NU","ZE1 0NU","199205","","S99999999","S99999999","S12000027","S13002777","S99999999","0","445935","1141956","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036996","27C07","S99999999","S01005501","S02001051","5","5A1","S00129083","S01012401","S02002324","S34002499","S03000037","S99999999","5","7B1",60.159509,-1.174299,"S99999999","","S23000009",1774,"S99999999","S99999999","S00174781","S01019734","S02003653","4"
"ZE1 0NW","ZE1  0NW","ZE1 0NW","200012","","S99999999","S99999999","S12000027","S13003153","S99999999","0","447000","1141270","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00037039","27C05","S99999999","S01005503","S02001051","5","6B3","S00129132","S01012395","S02002324","S34002513","S03000037","S99999999","5","1A4",60.153229,-1.155274,"S99999999","","S23000009",4605,"S99999999","S99999999","S00174798","S01019728","S02003653","4"
"ZE1 0NX","ZE1  0NX","ZE1 0NX","198001","","S99999999","S99999999","S12000027","S13002777","S99999999","0","446827","1141858","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036985","27C03","S99999999","S01005507","S02001052","5","1B1","S00129070","S01012400","S02002324","S34002516","S03000037","S99999999","5","7A1",60.158528,-1.158254,"S99999999","","S23000009",2889,"S99999999","S99999999","S00174784","S01019733","S02003653","4"
"ZE1 0NY","ZE1  0NY","ZE1 0NY","199612","","S99999999","S99999999","S12000027","S13002777","S99999999","0","447121","1141852","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036976","27C06","S99999999","S01005507","S02001052","5","5B2","S00129061","S01012400","S02002324","S34002495","S03000037","S99999999","5","7D1",60.158441,-1.152960,"S99999999","","S23000009",2889,"S99999999","S99999999","S00174782","S01019733","S02003653","4"
"ZE1 0NZ","ZE1  0NZ","ZE1 0NZ","200112","","S99999999","S99999999","S12000027","S13002777","S99999999","0","446081","1142064","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00037048","27C07","S99999999","S01005508","S02001052","5","5B2","S00129083","S01012401","S02002324","S34002499","S03000037","S99999999","5","7B1",60.160462,-1.171645,"S99999999","","S23000009",1774,"S99999999","S99999999","S00174781","S01019734","S02003653","4"
"ZE1 0PA","ZE1  0PA","ZE1 0PA","198001","","S99999999","S99999999","S12000027","S13002777","S99999999","0","446836","1141745","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036984","27C03","S99999999","S01005507","S02001052","5","1B1","S00129069","S01012400","S02002324","S34002516","S03000037","S99999999","5","8C2",60.157513,-1.158118,"S99999999","","S23000009",2889,"S99999999","S99999999","S00174787","S01019733","S02003653","4"
"ZE1 0PB","ZE1  0PB","ZE1 0PB","198001","","S99999999","S99999999","S12000027","S13002777","S99999999","0","446794","1141763","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036985","27C03","S99999999","S01005507","S02001052","5","1B1","S00129070","S01012400","S02002324","S34002516","S03000037","S99999999","5","7A1",60.157679,-1.158871,"S99999999","","S23000009",2889,"S99999999","S99999999","S00174784","S01019733","S02003653","4"
"ZE1 0PD","ZE1  0PD","ZE1 0PD","198001","","S99999999","S99999999","S12000027","S13002777","S99999999","0","446788","1141557","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036982","27C03","S99999999","S01005505","S02001051","5","5B4","S00129067","S01012399","S02002324","S34002520","S03000037","S99999999","5","7A1",60.155830,-1.159026,"S99999999","","S23000009",4249,"S99999999","S99999999","S00174793","S01019732","S02003653","4"
"ZE1 0PE","ZE1  0PE","ZE1 0PE","199305","","S99999999","S99999999","S12000027","S13002777","S99999999","1","447009","1141751","1","S08000026","S99999999","S92000003","S99999999","0","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","99ZZ00","S00036985","27C03","S99999999","S01005507","S02001052","5","1B1","S00129070","S01012400","S02002324","S34002516","S03000037","S99999999","5","7A1",60.157547,-1.155001,"S99999999","","S23000009",2889,"S99999999","S99999999","S00174784","S01019733","S02003653","4"
