pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"DG112BQ","DG11 2BQ","DG11 2BQ","198001","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313343","0581887","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008336","08C45","S99999999","S01001055","S02000194","3","3C2","S00098051","S01007636","S02001436","S34000811","S03000005","S99999999","3","1C3",55.123761,-3.360408,"S99999999","","S23000009",3036,"S99999999","S99999999","S00146267","S01015313","S02002838","3"
"DG112BS","DG11 2BS","DG11 2BS","199606","199612","S99999999","S99999999","S12000006","S13002890","S99999999","1","313504","0581934","8","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008342","08C45","S99999999","S01001058","S02000194","3","5A2","S00098057","S01007638","S02001436","S34000918","S03000005","S99999999","3","7A1",55.124212,-3.357899,"S99999999","","S23000009",3281,"S99999999","S99999999","S00146262","S01015315","S02002838","3"
"DG112BT","DG11 2BT","DG11 2BT","198105","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313664","0581979","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008341","08C45","S99999999","S01001056","S02000194","3","5B1","S00098056","S01007637","S02001436","S34000918","S03000005","S99999999","3","7D2",55.124644,-3.355404,"S99999999","","S23000009",2919,"S99999999","S99999999","S00146265","S01015314","S02002838","3"
"DG112BU","DG11 2BU","DG11 2BU","200206","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313492","0581690","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008335","08C45","S99999999","S01001055","S02000194","3","3A2","S00098050","S01007636","S02001436","S34000809","S03000005","S99999999","3","1C2",55.122018,-3.358013,"S99999999","","S23000009",3036,"S99999999","S99999999","S00146270","S01015313","S02002838","3"
"DG112BW","DG11 2BW","DG11 2BW","199606","200809","S99999999","S99999999","S12000006","S13002890","S99999999","0","313714","0581561","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008353","08C45","S99999999","S01001058","S02000194","3","5B4","S00098069","S01007638","S02001436","S34000798","S03000005","S99999999","3","7A1",55.120898,-3.354494,"S99999999","","S23000009",3281,"S99999999","S99999999","S00146276","S01015313","S02002838","3"
"DG112BX","DG11 2BX","DG11 2BX","199006","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313645","0581511","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008353","08C45","S99999999","S01001058","S02000194","3","5B4","S00098069","S01007638","S02001436","S34000798","S03000005","S99999999","3","7A1",55.120436,-3.355560,"S99999999","","S23000009",3281,"S99999999","S99999999","S00146276","S01015313","S02002838","3"
"DG112BY","DG11 2BY","DG11 2BY","199512","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313656","0581835","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008353","08C45","S99999999","S01001058","S02000194","3","5B4","S00098069","S01007638","S02001436","S34000798","S03000005","S99999999","3","7A1",55.123349,-3.355486,"S99999999","","S23000009",3281,"S99999999","S99999999","S00146269","S01015315","S02002838","3"
"DG112BZ","DG11 2BZ","DG11 2BZ","199410","199812","S99999999","S99999999","S12000006","S13002890","S99999999","1","314068","0582432","6","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008357","08C44","S99999999","S01001059","S02000194","3","1A3","S00098073","S01007639","S02001436","S34000918","S03000005","S99999999","3","8D1",55.128784,-3.349208,"S99999999","","S23000009",2508,"S99999999","S99999999","S00146250","S01015316","S02002838","3"
"DG112DA","DG11 2DA","DG11 2DA","198001","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313620","0581549","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008335","08C45","S99999999","S01001055","S02000194","3","3A2","S00098050","S01007636","S02001436","S34000809","S03000005","S99999999","3","1C2",55.120773,-3.355963,"S99999999","","S23000009",3036,"S99999999","S99999999","S00146270","S01015313","S02002838","3"
"DG112DB","DG11 2DB","DG11 2DB","199806","","S99999999","S99999999","S12000006","S13002890","S99999999","0","313776","0581461","1","S08000017","S99999999","S92000003","S99999999","0","S14000074","S15000001","S09000004","S22000055","S03000005","S30000016","99ZZ00","S00008352","08C45","S99999999","S01001055","S02000194","3","5B2","S00098069","S01007638","S02001436","S34000798","S03000005","S99999999","3","7A1",55.120010,-3.353491,"S99999999","","S23000009",3281,"S99999999","S99999999","S00146276","S01015313","S02002838","3"
