pcd7,pcd8,pcds,dointr,doterm,cty25cd,ced25cd,lad25cd,wd25cd,parncp25cd,usrtypind,east1m,north1m,gridind,hlth19cd,nhser24cd,ctry25cd,rgn25cd,ssr95cd,pcon24cd,eer20cd,educ23cd,ttwa15cd,pco19cd,itl25cd,wdstl05cd,oa01cd,wdcas03cd,npark16cd,lsoa01cd,msoa01cd,ruc01ind,oac01ind,oa11cd,lsoa11cd,msoa11cd,wz11cd,sicbl24cd,bua24cd,ruc11ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,cal24cd,icb23cd,oa21cd,lsoa21cd,msoa21cd,ruc21ind
"HG2 9AN","HG2  9AN","HG2 9AN","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","429570","0453706","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHQ","E00141152","36UDHQ","E65000001","E01027718","E02005780","5","4D2","E00141152","E01027718","E02005780","E33013605","E38000241","E63007692","C1","6A4",53.978590,-1.550629,"E37000058","","E23000009",31352,"E56000026","E54000051","E00141152","E01027718","E02005780","UN1"
"HG2 9AP","HG2  9AP","HG2 9AP","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","429662","0453729","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHQ","E00141152","36UDHQ","E65000001","E01027718","E02005780","5","4D2","E00141152","E01027718","E02005780","E33013605","E38000241","E63007692","C1","6A4",53.978791,-1.549224,"E37000058","","E23000009",31352,"E56000026","E54000051","E00141152","E01027718","E02005780","UN1"
"HG2 9AQ","HG2  9AQ","HG2 9AQ","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","429722","0453920","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHQ","E00141160","36UDHQ","E65000001","E01027718","E02005780","5","4B4","E00141160","E01027718","E02005780","E33013605","E38000241","E63007692","C1","6A4",53.980504,-1.548290,"E37000058","","E23000009",31352,"E56000026","E54000051","E00141160","E01027718","E02005780","UN1"
"HG2 9AR","HG2  9AR","HG2 9AR","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","429640","0453806","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHQ","E00141152","36UDHQ","E65000001","E01027718","E02005780","5","4D2","E00141152","E01027718","E02005780","E33013605","E38000241","E63007692","C1","6A4",53.979484,-1.549552,"E37000058","","E23000009",31352,"E56000026","E54000051","E00141152","E01027718","E02005780","UN1"
"HG2 9AS","HG2  9AS","HG2 9AS","199002","","E99999999","E99999999","E06000065","E05014278","E04013500","0","429642","0454111","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHQ","E00141160","36UDHQ","E65000001","E01027718","E02005780","5","4B4","E00141160","E01027718","E02005780","E33013605","E38000241","E63007692","C1","6A4",53.982225,-1.549492,"E37000058","","E23000009",31352,"E56000026","E54000051","E00141160","E01027718","E02005780","UN1"
"HG2 9AT","HG2  9AT","HG2 9AT","198504","199512","E99999999","E99999999","E06000065","E05014278","E04013500","1","430200","0454300","8","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHU","E00141235","36UDHU","E65000001","E01027730","E02005779","5","6B2","E00141235","E01027730","E02005779","E33013598","E38000241","E63007692","C1","5B1",53.983892,-1.540964,"E37000058","","E23000009",30679,"E56000026","E54000051","E00141235","E01027730","E02005779","UN1"
"HG2 9AU","HG2  9AU","HG2 9AU","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","430316","0454489","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHU","E00141235","36UDHU","E65000001","E01027730","E02005779","5","6B2","E00141235","E01027730","E02005779","E33013598","E38000241","E63007692","C1","5B1",53.985584,-1.539177,"E37000058","","E23000009",30679,"E56000026","E54000051","E00141235","E01027730","E02005779","UN1"
"HG2 9AW","HG2  9AW","HG2 9AW","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","429613","0453788","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHQ","E00141152","36UDHQ","E65000001","E01027718","E02005780","5","4D2","E00141152","E01027718","E02005780","E33013605","E38000241","E63007692","C1","6A4",53.979324,-1.549965,"E37000058","","E23000009",31352,"E56000026","E54000051","E00141152","E01027718","E02005780","UN1"
"HG2 9AX","HG2  9AX","HG2 9AX","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","430401","0454206","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHU","E00141222","36UDHU","E65000001","E01027730","E02005779","5","6D2","E00141222","E01027730","E02005779","E33013597","E38000241","E63007692","C1","5B1",53.983035,-1.537909,"E37000058","","E23000009",30679,"E56000026","E54000051","E00141222","E01027730","E02005779","UN1"
"HG2 9AY","HG2  9AY","HG2 9AY","198001","","E99999999","E99999999","E06000065","E05014278","E04013500","0","430315","0454333","1","E18000003","E40000012","E92000001","E12000003","2","E14001269","E15000003","E24000044","E30000214","E16000099","E06000065","36UDHU","E00141233","36UDHU","E65000001","E01027730","E02005779","5","2B1","E00141233","E01027730","E02005779","E33013598","E38000241","E63007692","C1","5A3",53.984182,-1.539208,"E37000058","","E23000009",30679,"E56000026","E54000051","E00141233","E01027730","E02005779","UN1"
